ticker,name
AC.PA,Accor
ACA.PA,Crédit Agricole
AI.PA,Air Liquide
AIR.PA,Airbus
BN.PA,Danone
BNP.PA,BNP Paribas
BVI.PA,Bureau Veritas
CA.PA,Carrefour
CAP.PA,Capgemini
CS.PA,Axa
DG.PA,Vinci
DSY.PA,Dassault Systèmes
EDEN.PA,Edenred
EL.PA,EssilorLuxottica
EN.PA,Bouygues
ENGI.PA,Engie
ERF.PA,Eurofins Scientific
GLE.PA,Société Générale
HO.PA,Thales
KER.PA,Kering
LR.PA,Legrand
MC.PA,LVMH
ML.PA,Michelin
MT.AS,ArcelorMittal
OR.PA,L'Oréal
ORA.PA,Orange
PUB.PA,Publicis
RI.PA,Pernod Ricard
RMS.PA,Hermès
RNO.PA,Renault
SAF.PA,Safran
SAN.PA,Sanofi
SGO.PA,Saint-Gobain
STLAP.PA,Stellantis
STMPA.PA,STMicroelectronics
SU.PA,Schneider Electric
TEP.PA,Teleperformance
TTE.PA,TotalEnergies
URW.PA,Unibail-Rodamco-Westfield
VIE.PA,Veolia
