ticker,name
AAF.L,Airtel Africa
AAL.L,Anglo American plc
ABF.L,Associated British Foods
ADM.L,Admiral Group
ALW.L,Alliance Witan
ANTO.L,Antofagasta plc
AUTO.L,Autotrader Group
AV.L,Aviva
AZN.L,AstraZeneca
BA.L,BAE Systems
BAB.L,Babcock International
BARC.L,Barclays
BATS.L,British American Tobacco
BBOX.L,Tritax Big Box REIT
BEZ.L,Beazley
BGEO.L,Lion Finance Group
BKG.L,Berkeley Group Holdings
BLND.L,British Land
BNZL.L,Bunzl
BP.L,BP
BRBY.L,Burberry Group
BT.A,BT Group
BTRW.L,Barratt Redrow
CCEP.L,Coca-Cola Europacific Partners
CCH.L,Coca-Cola HBC
CNA.L,Centrica
CPG.L,Compass Group
CRDA.L,Croda International
CTEC.L,Convatec
DCC.L,DCC plc
DGE.L,Diageo
DPLM.L,Diploma
EDV.L,Endeavour Mining
ENT.L,Entain
EXPN.L,Experian
FCIT.L,F & C Investment Trust
FRES.L,Fresnillo plc
GAW.L,Games Workshop
GLEN.L,Glencore
GSK.L,GSK plc
HLMA.L,Halma plc
HLN.L,Haleon
HSBA.L,HSBC
HSX.L,Hiscox
HWDN.L,Howdens Joinery
IAG.L,International Airlines Group
ICG.L,ICG
IGG.L,IG Group
IHG.L,IHG Hotels & Resorts
III.L,3i
IMB.L,Imperial Brands
IMI.L,IMI
INF.L,Informa
ITRK.L,Intertek
JD.L,JD Sports
KGF.L,Kingfisher plc
LAND.L,Land Securities
LGEN.L,Legal & General
LLOY.L,Lloyds Banking Group
LMP.L,LondonMetric Property
LSEG.L,London Stock Exchange Group
MKS.L,Marks & Spencer
MNDI.L,Mondi
MNG.L,M&G
MRO.L,Melrose Industries
MTLN.L,Metlen Energy & Metals
NG.L,National Grid plc
NWG.L,NatWest Group
NXT.L,Next plc
PCT.L,Polar Capital Technology Trust
PRU.L,Prudential plc
PSH.L,Pershing Square Holdings
PSN.L,Persimmon
PSON.L,Pearson plc
REL.L,RELX
RIO.L,Rio Tinto
RKT.L,Reckitt
RMV.L,Rightmove
RR.L,Rolls-Royce Holdings
RTO.L,Rentokil Initial
SBRY.L,Sainsbury's
SDLF.L,Standard Life
SDR.L,Schroders
SGE.L,Sage Group
SGRO.L,Segro
SHEL.L,Shell plc
SMIN.L,Smiths Group
SMT.L,Scottish Mortgage Investment Trust
SN.L,Smith & Nephew
SPX.L,Spirax Group
SSE.L,SSE plc
STAN.L,Standard Chartered
STJ.L,St. James's Place
SVT.L,Severn Trent
TSCO.L,Tesco
ULVR.L,Unilever
UU.L,United Utilities
VOD.L,Vodafone Group
WEIR.L,Weir Group
WTB.L,Whitbread
