ticker,name
A2A.MI,A2A
AMP.MI,Amplifon
AVIO.MI,Avio
AZM.MI,Azimut
BAMI.MI,Banco BPM
BC.MI,Brunello Cucinelli
BMED.MI,Banca Mediolanum
BMPS.MI,Banca Monte dei Paschi di Siena
BPE.MI,BPER Banca
BZU.MI,Buzzi
CPR.MI,Campari
DIA.MI,Diasorin
ENEL.MI,Enel
ENI.MI,Eni
FBK.MI,FinecoBank
FCT.MI,Fincantieri
G.MI,Generali
HER.MI,Hera
IG.MI,Italgas
INW.MI,INWIT
ISP.MI,Intesa Sanpaolo
IVG.MI,Iveco
LDO.MI,Leonardo
LTMC.MI,Lottomatica Group
MB.MI,Mediobanca
MONC.MI,Moncler
NEXI.MI,Nexi
PRY.MI,Prysmian
PST.MI,Poste italiane
RACE.MI,Ferrari
REC.MI,Recordati
SPM.MI,Saipem
SRG.MI,Snam
STLAM.MI,Stellantis
STMMI.MI,STMicroelectronics
TEN.MI,Tenaris
TIT.MI,Telecom Italia
TRN.MI,Terna
UCG.MI,UniCredit
UNI.MI,Unipol
