ticker,name
ACS.MC,ACS
ACX.MC,Acerinox
AENA.MC,AENA
AMS.MC,Amadeus IT Group
ANA.MC,Acciona
ANE.MC,Acciona Energía
BBVA.MC,BBVA
BKT.MC,Bankinter
CABK.MC,CaixaBank
CLNX.MC,Cellnex Telecom
COL.MC,Inmobiliaria Colonial
ELE.MC,Endesa
ENG.MC,Enagás
FDR.MC,Fluidra
FER.MC,Ferrovial
GRF.MC,Grifols
IAG.MC,International Airlines Group
IBE.MC,Iberdrola
IDR.MC,Indra
ITX.MC,Inditex
LOG.MC,Logista
MAP.MC,Mapfre
MRL.MC,Merlin Properties
MTS.MC,ArcelorMittal
NTGY.MC,Naturgy
PUIG.MC,Puig
RED.MC,Redeia Corporación
REP.MC,Repsol
ROVI.MC,Laboratorios Rovi [es]
SAB.MC,Banco Sabadell
SAN.MC,Santander
SCYR.MC,Sacyr
SLR.MC,Solaria
TEF.MC,Telefónica
UNI.MC,Unicaja
