ticker,name
ABB.ST,ABB Ltd
ADDT-B.ST,Addtech B
ALFA.ST,Alfa Laval
ASSA-B.ST,Assa Abloy B
ATCO-A.ST,Atlas Copco A
AZN.ST,AstraZeneca
BOL.ST,Boliden
EPI-A.ST,Epiroc A
EQT.ST,EQT
ERIC-B.ST,Ericsson B
ESSITY-B.ST,Essity B
EVO.ST,Evolution
HEXA-B.ST,Hexagon B
HM-B.ST,Hennes & Mauritz B
INDU-C.ST,Industrivärden C
INVE-B.ST,Investor B
LIFCO-B.ST,Lifco B
NDA-SE.ST,Nordea Bank Abp
NIBE-B.ST,Nibe Industrier B
SAAB-B.ST,Saab B
SAND.ST,Sandvik
SCA-B.ST,SCA B
SEB-A.ST,SEB A
SHB-A.ST,Handelsbanken A
SKA-B.ST,Skanska B
SKF-B.ST,SKF B
SWED-A.ST,Swedbank A
TEL2-B.ST,Tele2 B
TELIA.ST,Telia Company
VOLV-B.ST,Volvo B
