ticker,name
ABBN.SW,ABB Ltd
ALC.SW,Alcon Inc
CFR.SW,Compagnie Financière Richemont SA
GEBN.SW,Geberit AG
GIVN.SW,Givaudan SA
HOLN.SW,Holcim Limited
KNIN.SW,Kuehne + Nagel
LOGN.SW,Logitech International SA
LONN.SW,Lonza Group AG
NESN.SW,Nestlé SA
NOVN.SW,Novartis International AG
PGHN.SW,Partners Group Holding AG
ROG.SW,Roche Holding AG
SCMN.SW,Swisscom AG
SIKA.SW,Sika AG
SLHN.SW,Swiss Life Holding AG
SOON.SW,Sonova
SREN.SW,Swiss Reinsurance Company Ltd
UBSG.SW,UBS Group AG
ZURN.SW,Zurich Insurance Group AG
