ticker,name
ABI.BR,Anheuser-Busch InBev
AD.AS,Ahold Delhaize
ADS.DE,Adidas
ADYEN.AS,Adyen
AI.PA,Air Liquide
AIR.PA,Airbus
ALV.DE,Allianz
ARGX.BR,Argenx
ASML.AS,ASML Holding
BAS.DE,BASF
BAYN.DE,Bayer
BBVA.MC,BBVA
BMW.DE,BMW
BN.PA,Danone
BNP.PA,BNP Paribas
CS.PA,Axa
DB1.DE,Deutsche Börse
DBK.DE,Deutsche Bank
DG.PA,Vinci SA
DHL.DE,Deutsche Post
DTE.DE,Deutsche Telekom
EL.PA,EssilorLuxottica
ENEL.MI,Enel
ENI.MI,Eni
ENR.DE,Siemens Energy
IBE.MC,Iberdrola
IFX.DE,Infineon Technologies
INGA.AS,ING Group
ISP.MI,Intesa Sanpaolo
ITX.MC,Inditex
MBG.DE,Mercedes-Benz Group
MC.PA,LVMH Moët Hennessy Louis Vuitton
MUV2.DE,Munich Re
NDA-FI.HE,Nordea
OR.PA,L'Oréal
PRX.AS,Prosus
RACE.MI,Ferrari
RHM.DE,Rheinmetall
RMS.PA,Hermès
SAF.PA,Safran
SAN.MC,Banco Santander
SAN.PA,Sanofi
SAP.DE,SAP
SGO.PA,Saint-Gobain
SIE.DE,Siemens
SU.PA,Schneider Electric
TTE.PA,TotalEnergies
UCG.MI,UniCredit
VOW.DE,Volkswagen Group
WKL.AS,Wolters Kluwer
